headline,entity,majority_label
What Michael Bloomberg’s $11 million Super Bowl ad would cost you on your budget - Washington Post,Bloomberg,Neutral
Taliban Negotiators Meet With Russian Officials After Trump Ends Talks,Trump,Negative
Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,Bloomberg,Neutral
"At Rally, Trump Praises Van Drew for Leaving ‘Deranged’ Democratic Party",Trump,Neutral
Sanders Is Victorious in New Hampshire Primary,Sanders,Positive
"Sanders, Warren campaigns pay to offset almost 4,000 tons in carbon emissions: report",Sanders,Neutral
Power Up: Pete Buttigieg could deliver another surprise in the New Hampshire primary,Buttigieg,Positive
Some Democrats worry anti-corporate purity test go too far - The Washington Post,Democrats,Negative
The Health 202: The Trump administration calls it 'Healthy Adult Opportunity.' Critics call it less Medicaid.,Trump,Neutral
"How Bernie Sanders Stumbled, Then Steadied His Presidential Campaign",Sanders,Positive
Ilhan Omar’s Republican opponent Danielle Stella barred by Twitter - The Washington Post,Republicans,Neutral
Why Bernie Sanders Is Tough to Beat,Sanders,Positive
Trump isn’t worried about beating Republicans in the primaries. He wants to beat the Democrats. - The Washington Post,Democrats,Neutral
The Trailer: Warren and Klobuchar get more frank about electability,Klobuchar,Positive
Power Up: Pete Buttigieg could deliver another surprise in the New Hampshire primary,Buttigieg,Positive
"Biden Rebounds, Warren Slows, Sanders Rolls: The Latest on the 2020 Money Race",Warren,Negative
Trump’s defense team to target Bidens in counterpunch to impeachment charges,Biden,Neutral
Michael Bennet Drops Out of the 2020 Presidential Race,Bennet,Negative
Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,Positive
"The Senate will hold an impeachment trial of Trump, but what it will look like remains contentious and uncertain",Trump,Neutral
Trump Shifts to Authorize Wider US Military Use of Landmines,Trump,Neutral
"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Sanders,Positive
Revolution or Realism? NH Tests Democrats' Call for Change,Democrats,Neutral
The Finance 202: Trump's economic approval rating hits new high in Washington Post-ABC News poll,Trump,Positive
"How Many Republican Votes Are Needed to Subpoena Bolton? 4, 3 or None?",Republicans,Neutral
"Democrats Fear for Their Convention. For Republicans, ‘The Show Must Go On.’",Republicans,Negative
Buttigieg Says He's Raised $4M Since Strong Showing in Iowa,Buttigieg,Positive
Nancy Pelosi viral memes defiantly respond to Trump’s rhetoric,Trump,Negative
‘I really like you’: Iowa voters give Amy Klobuchar another look,Klobuchar,Positive
Trump Says Son of Osama bin Laden Killed in U.S. Operation,Trump,Neutral
Republicans raise $117 million throughout Trump’s impeachment,Trump,Neutral
"Trump and Pelosi: Snubs, Then a Torn-Up Speech",Trump,Neutral
Two Women in Custody for Running Checkpoints at Trump's Florida Resort,Trump,Neutral
GOP-Tied Groups Challenge Shift of Bloomberg Cash to Democrats,Democrats,Negative
"Iowa Democrats Release Partial Caucus Results, but No Winner Yet",Democrats,Neutral
It’s hard to wrap your mind around how much money Bloomberg could spend on his campaign,Bloomberg,Negative
"Buttigieg, Sanders Campaigns Request Iowa Recanvass: Iowa Democrats",Democrats,Neutral
Tensions with Trump over Iran expose concerns about the role of Congress in making war,Trump,Neutral
"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",Biden,Neutral
Newt Gingrich: Trump impeachment will bring Pelosi and House Democrats condemnation by history,Democrats,Negative
"Sen. Lindsey Graham on President Trump's acquittal in Senate impeachment trial, Mitt Romney's guilty vote",Trump,Neutral
"Iowa Democratic Party projects Pete Buttigieg the winner of the delegate race, with Bernie Sanders preparing a challenge",Sanders,Neutral
Good Economy May Mask Trump Vulnerability in Key States: Study,Trump,Negative
Democrats question McConnell’s decision to return Senate to business - The Washington Post,Democrats,Neutral
Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,Sanders,Negative
Exclusive: Trump Proposes 21% Cut in U.S. Foreign Aid in Budget Proposal-Officials,Trump,Neutral
"The Latest: Top Nevada Union Warns About Sanders, Warren",Warren,Negative
Twitter Attaches Warning to Trump Campaign’s Pro-Life Video,Trump,Negative
Joe Biden takes aim at Pete Buttigieg after 'gut punch' in Iowa,Biden,Negative
"During State of the Union, Trump makes his most direct appeal to black voters yet",Trump,Neutral
Chris Murphy: It’s ‘Possible’ Some Democrats Vote to Acquit Trump,Trump,Positive
Bloomberg Plans to Double Ad Spending After Iowa Caucus Problem,Bloomberg,Neutral
"Once Skeptical, Senate Republicans Are All In on Trump",Trump,Positive
Pete Buttigieg discusses his debate performance,Buttigieg,Neutral
"Brit Hume on bounces for Amy Klobuchar and Pete Buttigieg, slides for Joe Biden and Elizabeth Warren",Buttigieg,Positive
Sondland’s bombshell testimony leaves Trump’s Republican allies scrambling - The Washington Post,Republicans,Negative
"Joe Biden Helped Launch Business for Son-in-Law from the Oval Office, Repeatedly Briefed Investors Privately",Biden,Negative
Senator Romney to Vote for Trump Impeachment Trial Witnesses,Trump,Neutral
Ossoff: We Need to Beat Trump Backers So Badly They Can’t Show Their Faces in Public (VIDEO),Trump,Negative
Full Video: Trump’s State of the Union Speech,Trump,Neutral
"To Win New Hampshire, Warren Has to Go Through Sanders",Sanders,Neutral
Media split on Trump acquittal,Trump,Neutral
"On the Trail: Sanders, Buttigieg Lead Charge as Democrats Barnstorm New Hampshire",Sanders,Positive
Tiers within the tier: The Democrats with core bases and those without - The Washington Post,Democrats,Negative
"Andrew Yang Democratic candidate: Biography, issues, fundraising",Yang,Neutral
Trump uses sanctions as a favorite form of retribution — against friend and foe alike,Trump,Negative
Where the goal posts are: Trump’s legal team argues he didn’t ask for an investigation into Biden,Biden,Neutral
"Trump-Barr divide worsens as the president bucks a request to stop tweeting, and the Justice Dept. declines to charge ex-FBI official McCabe",Trump,Neutral
